N,N-grama,Freq,ratio,sentimiento
2,una perdida,53,inf,negativo
2,peor compra,72,inf,negativo
2,pésimo no,56,inf,negativo
2,estafa no,110,220.0,negativo
2,malísima calidad,105,210.0,negativo
2,no compréis,88,176.0,negativo
2,timo no,87,174.0,negativo
2,una estafa,342,136.8,negativo
2,mes esperando,122,122.0,negativo
2,nada recomendable,287,114.8,negativo
2,me contestan,56,112.0,negativo
2,llegado aún,55,110.0,negativo
2,engaño no,53,106.0,negativo
2,me devuelvan,158,105.33333333333333,negativo
2,toda regla,50,100.0,negativo
2,esperando y,93,93.0,negativo
2,me devuelven,86,86.0,negativo
2,dinero tirado,337,84.25,negativo
2,tirado a,161,80.5,negativo
2,mi dinero,193,77.2,negativo
2,llegado todavía,70,70.0,negativo
2,devuelvan el,138,69.0,negativo
2,un engaño,270,67.5,negativo
2,entregado y,98,65.33333333333333,negativo
2,un timo,358,65.0909090909091,negativo
2,sigo esperando,225,64.28571428571429,negativo
2,siento engañado,63,63.0,negativo
2,producto nunca,94,62.666666666666664,negativo
2,siento estafado,62,62.0,negativo
2,llegó nunca,60,60.0,negativo
2,muy descontenta,200,57.142857142857146,negativo
2,basura el,56,56.0,negativo
2,entregado pero,55,55.0,negativo
2,puede devolver,54,54.0,negativo
2,esperando no,53,53.0,negativo
2,desastre de,53,53.0,negativo
2,lo compren,52,52.0,negativo
2,como entregado,77,51.333333333333336,negativo
2,doy dos,102,51.0,negativo
2,lo compreis,75,50.0,negativo
2,devuelven el,99,49.5,negativo
2,llegado ni,73,48.666666666666664,negativo
2,muy decepcionada,218,48.44444444444444,negativo
2,basura no,142,47.333333333333336,negativo
2,nunca llego,136,45.333333333333336,negativo
2,dos estrellas,290,44.61538461538461,negativo
2,llegado nada,89,44.5,negativo
2,desastre no,89,44.5,negativo
2,una reclamación,66,44.0,negativo
2,decepción total,87,43.5,negativo
2,es tirar,149,42.57142857142857,negativo
2,un fraude,62,41.333333333333336,negativo
2,llevo esperando,61,40.666666666666664,negativo
2,pésima calidad,181,40.22222222222222,negativo
2,estoy nada,80,40.0,negativo
2,no comprar,219,39.81818181818182,negativo
2,llegado no,158,39.5,negativo
2,tirado el,95,38.0,negativo
2,no vuelvo,110,36.666666666666664,negativo
2,la peor,127,36.285714285714285,negativo
2,muy decepcionado,251,35.857142857142854,negativo
2,dinero ni,53,35.333333333333336,negativo
2,lo compréis,140,35.0,negativo
2,decepcionada no,70,35.0,negativo
2,dinero no,306,34.0,negativo
2,dinero perdido,50,33.333333333333336,negativo
